candidate_id,rank,score,reasoning
CAND_0081846,1,0.972,"Lead AI Engineer for 7 years building Embeddings and Information Retrieval experience at Razorpay. Based in jaipur, open to relocation."
CAND_0018499,2,0.954,"Senior Machine Learning Engineer for 7 years building RAG and Weaviate experience at Zomato; Noida-based, willing to relocate."
CAND_0061257,3,0.941,Staff Machine Learning Engineer for 8 years building Python and PEFT experience at LinkedIn (product company).
CAND_0080766,4,0.940,"Staff Machine Learning Engineer for 9 years building Python and Milvus experience at Salesforce (product company). Based in coimbatore, open to relocation."
CAND_0027691,5,0.939,NLP Engineer for 6 years building Weaviate and Semantic Search.
CAND_0006567,6,0.938,Senior AI Engineer for 8 years building BM25 and Python experience at Meta. Notice period 60 days.
CAND_0088025,7,0.934,Staff Machine Learning Engineer for 9 years building Learning to Rank and LLMs. Notice period 90 days.
CAND_0042506,8,0.930,Search Engineer for 4 years building Information Retrieval and FAISS.
CAND_0068811,9,0.929,"Applied ML Engineer for 8 years building Pinecone and Vector Search experience at Freshworks; Pune-based, willing to relocate."
CAND_0032216,10,0.927,"ML Engineer for 6 years building Learning to Rank and Information Retrieval experience at upGrad (product company); Chennai-based, willing to relocate."
CAND_0077285,11,0.927,Recommendation Systems Engineer for 6 years building Sentence Transformers and Information Retrieval experience at Nykaa. Notice period 60 days.
CAND_0066999,12,0.926,"Recommendation Systems Engineer for 6 years building LLMs and FAISS experience at Microsoft; Delhi-based, willing to relocate."
CAND_0096142,13,0.924,Applied ML Engineer for 5 years building Python and BM25 experience at upGrad (product company). Notice period 120 days.
CAND_0008425,14,0.922,Senior NLP Engineer for 8 years building Sentence Transformers and Qdrant experience at Ola. Notice period 90 days.
CAND_0094759,15,0.922,Lead AI Engineer for 9 years building Semantic Search and FAISS experience at Meta. Low recruiter response rate historically.
CAND_0030031,16,0.921,"AI Engineer for 6 years building Vector Search and Python experience at Microsoft. Based in trivandrum, relocation unconfirmed."
CAND_0052328,17,0.921,Recommendation Systems Engineer for 6 years building Sentence Transformers and Vector Search experience at Amazon.
CAND_0037980,18,0.920,"Senior Applied Scientist for 9 years building BM25 and LoRA experience at Niramai (product company); Kolkata-based, willing to relocate."
CAND_0006418,19,0.919,Machine Learning Engineer for 6 years building Weaviate and Embeddings. Notice period 60 days.
